OBJECTID,Borough,Type,Provider,Latitude,Longitude,Location_T,City,BoroCode,NTACode
149,SI,Free,LinkNYC - Citybridge,40.590983,-74.100732,Outdoor Kiosk,Staten Island,5,SI36
150,SI,Free,LinkNYC - Citybridge,40.598523,-74.082329,Outdoor Kiosk,Staten Island,5,SI36
151,SI,Free,LinkNYC - Citybridge,40.565852,-74.114224,Outdoor Kiosk,Staten Island,5,SI25
152,SI,Free,LinkNYC - Citybridge,40.57262,-74.113383,Outdoor Kiosk,Staten Island,5,SI45
153,SI,Free,LinkNYC - Citybridge,40.563843,-74.116075,Outdoor Kiosk,Staten Island,5,SI25
154,SI,Free,LinkNYC - Citybridge,40.5721,-74.112674,Outdoor Kiosk,Staten Island,5,SI45
155,SI,Free,LinkNYC - Citybridge,40.571782,-74.108614,Outdoor Kiosk,Staten Island,5,SI45
156,SI,Free,LinkNYC - Citybridge,40.576811,-74.103565,Outdoor Kiosk,Staten Island,5,SI45
157,SI,Free,LinkNYC - Citybridge,40.597715,-74.083828,Outdoor Kiosk,Staten Island,5,SI14
158,SI,Free,LinkNYC - Citybridge,40.581304,-74.11201,Outdoor Kiosk,Staten Island,5,SI45
159,SI,Free,LinkNYC - Citybridge,40.57285,-74.107539,Outdoor Kiosk,Staten Island,5,SI45
160,SI,Free,LinkNYC - Citybridge,40.598002,-74.08305,Outdoor Kiosk,Staten Island,5,SI14
161,SI,Free,LinkNYC - Citybridge,40.579634,-74.100652,Outdoor Kiosk,Staten Island,5,SI45
162,SI,Free,LinkNYC - Citybridge,40.573466,-74.106917,Outdoor Kiosk,Staten Island,5,SI45
163,SI,Free,LinkNYC - Citybridge,40.564789,-74.115318,Outdoor Kiosk,Staten Island,5,SI25
164,SI,Free,LinkNYC - Citybridge,40.579839,-74.100012,Outdoor Kiosk,Staten Island,5,SI36
165,SI,Free,LinkNYC - Citybridge,40.578802,-74.101669,Outdoor Kiosk,Staten Island,5,SI45
166,SI,Free,LinkNYC - Citybridge,40.571437,-74.108959,Outdoor Kiosk,Staten Island,5,SI45
167,SI,Free,LinkNYC - Citybridge,40.575553,-74.104816,Outdoor Kiosk,Staten Island,5,SI45
168,SI,Free,LinkNYC - Citybridge,40.581677,-74.11135,Outdoor Kiosk,Staten Island,5,SI45
169,SI,Free,LinkNYC - Citybridge,40.587385,-74.103708,Outdoor Kiosk,Staten Island,5,SI24
170,SI,Free,LinkNYC - Citybridge,40.589032,-74.101684,Outdoor Kiosk,Staten Island,5,SI36
171,SI,Free,LinkNYC - Citybridge,40.591436,-74.100862,Outdoor Kiosk,Staten Island,5,SI36
172,SI,Free,LinkNYC - Citybridge,40.589908,-74.100904,Outdoor Kiosk,Staten Island,5,SI36
173,SI,Free,LinkNYC - Citybridge,40.561755,-74.112161,Outdoor Kiosk,Staten Island,5,SI25
174,MN,Limited Free,SPECTRUM,40.824131,-73.942464,Indoor,New York,1,MN04
175,MN,Limited Free,SPECTRUM,40.824131,-73.942464,Indoor,New York,1,MN04
176,QU,Limited Free,SPECTRUM,40.718812,-73.88536,Outdoor TWC Aerial,Queens,4,QN21
177,QU,Limited Free,SPECTRUM,40.720231,-73.877806,Outdoor,Queens,4,QN21
178,QU,Limited Free,SPECTRUM,40.720598,-73.877337,Outdoor,Queens,4,QN21
179,QU,Limited Free,SPECTRUM,40.721026,-73.877935,Outdoor,Queens,4,QN21
180,QU,Limited Free,SPECTRUM,40.71921,-73.885335,Outdoor TWC Aerial,Queens,4,QN21
181,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn,3,BK38
182,BK,Free,Downtown Brooklyn,40.694693,-73.983849,Outdoor,Brooklyn,3,BK38
183,BK,Free,Downtown Brooklyn,40.694693,-73.983849,Outdoor,Brooklyn,3,BK38
184,BK,Free,Downtown Brooklyn,40.693721,-73.983328,Outdoor,Brooklyn,3,BK38
185,BK,Free,Downtown Brooklyn,40.693721,-73.983328,Outdoor,Brooklyn,3,BK38
186,BK,Free,Downtown Brooklyn,40.69335,-73.985788,Outdoor,Brooklyn,3,BK38
187,BK,Free,Downtown Brooklyn,40.69335,-73.985788,Outdoor,Brooklyn,3,BK38
188,BK,Free,Downtown Brooklyn,40.686371,-73.978541,Outdoor,Brooklyn,3,BK68
189,BK,Free,Downtown Brooklyn,40.686371,-73.978541,Outdoor,Brooklyn,3,BK68
190,BK,Free,Downtown Brooklyn,40.692723,-73.983025,Outdoor,Brooklyn,3,BK38
191,BK,Free,Downtown Brooklyn,40.690406,-73.983931,Outdoor,Brooklyn,3,BK38
192,BK,Free,Downtown Brooklyn,40.690406,-73.983931,Outdoor,Brooklyn,3,BK38
193,BK,Free,Downtown Brooklyn,40.692087,-73.982587,Outdoor,Brooklyn,3,BK38
194,BK,Free,Downtown Brooklyn,40.692087,-73.982587,Outdoor,Brooklyn,3,BK38
195,BK,Free,Downtown Brooklyn,40.69189,-73.982488,Outdoor,Brooklyn,3,BK38
196,BK,Free,Downtown Brooklyn,40.693625,-73.988519,Outdoor,Brooklyn,3,BK38
197,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn,3,BK38
198,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn,3,BK38
199,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn,3,BK38
200,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn,3,BK38
201,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn,3,BK38
202,BK,Free,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn,3,BK38
203,BK,Free,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn,3,BK38
204,BK,Free,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn,3,BK38
205,BK,Free,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn,3,BK38
206,BK,Free,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn,3,BK38
207,BK,Free,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn,3,BK38
208,BK,Free,Downtown Brooklyn,40.689942,-73.982158,Outdoor,Brooklyn,3,BK68
209,BK,Free,Downtown Brooklyn,40.689942,-73.982158,Outdoor,Brooklyn,3,BK68
210,BK,Free,Downtown Brooklyn,40.691738,-73.988131,Outdoor,Brooklyn,3,BK38
211,BK,Free,Downtown Brooklyn,40.691738,-73.988131,Outdoor,Brooklyn,3,BK38
493,MN,Free,Harlem,40.805791,-73.954438,Outdoor,New York,1,MN11
212,BK,Free,Downtown Brooklyn,40.693348,-73.987419,Outdoor,Brooklyn,3,BK38
213,BK,Free,Downtown Brooklyn,40.692417,-73.987117,Outdoor,Brooklyn,3,BK38
214,BK,Free,Downtown Brooklyn,40.692417,-73.987117,Outdoor,Brooklyn,3,BK38
215,BK,Free,Downtown Brooklyn,40.692417,-73.987117,Outdoor,Brooklyn,3,BK38
216,BK,Free,Downtown Brooklyn,40.692178,-73.988304,Outdoor,Brooklyn,3,BK38
217,BK,Free,Downtown Brooklyn,40.692023,-73.988433,Outdoor,Brooklyn,3,BK38
218,BK,Free,Downtown Brooklyn,40.691976,-73.988311,Outdoor,Brooklyn,3,BK38
219,BK,Free,Downtown Brooklyn,40.692174,-73.988669,Outdoor,Brooklyn,3,BK38
220,BK,Free,Downtown Brooklyn,40.692178,-73.988304,Outdoor,Brooklyn,3,BK38
221,BK,Free,Downtown Brooklyn,40.690364,-73.984435,Outdoor,Brooklyn,3,BK38
222,BK,Free,Downtown Brooklyn,40.690364,-73.984435,Outdoor,Brooklyn,3,BK38
223,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn,3,BK09
224,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn,3,BK09
225,BK,Free,Downtown Brooklyn,40.689985,-73.991995,Outdoor,Brooklyn,3,BK09
226,BK,Free,Downtown Brooklyn,40.689906,-73.991944,Outdoor,Brooklyn,3,BK09
227,QU,Free,LinkNYC - Citybridge,40.703928,-73.79847,Outdoor Kiosk,Queens,4,QN61
228,QU,Free,LinkNYC - Citybridge,40.70402,-73.79869,Outdoor Kiosk,Queens,4,QN61
229,QU,Free,LinkNYC - Citybridge,40.703452,-73.800352,Outdoor Kiosk,Queens,4,QN61
230,QU,Free,LinkNYC - Citybridge,40.703352,-73.799923,Outdoor Kiosk,Queens,4,QN61
231,BK,Free,Downtown Brooklyn,40.689997,-73.992,Outdoor,Brooklyn,3,BK09
232,BK,Free,Downtown Brooklyn,40.690022,-73.991897,Outdoor,Brooklyn,3,BK09
233,BK,Free,Downtown Brooklyn,40.695578,-73.98397,Outdoor,Brooklyn,3,BK38
234,BK,Free,Downtown Brooklyn,40.689924,-73.988117,Outdoor,Brooklyn,3,BK38
235,BK,Free,Downtown Brooklyn,40.689924,-73.988117,Outdoor,Brooklyn,3,BK38
236,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn,3,BK38
237,BK,Free,Downtown Brooklyn,40.690296,-73.987846,Outdoor,Brooklyn,3,BK38
