OBJECTID,Borough,Type,Provider,Latitude,Longitude,Location_T,City,BoroCode,NTACode
387,QU,Free,QPL,40.70517231,-73.90257238,Library,Ridgewood,4,QN20
388,QU,Free,QPL,40.60477211,-73.75209189,Library,Far Rockaway,4,QN15
389,BK,Free,BPL,40.71364489,-73.94793571,Library,Brooklyn,3,BK90
390,QU,Free,QPL,40.69554015,-73.79022739,Library,Jamaica,4,QN01
391,BK,Free,BPL,40.61591608,-73.97604049,Library,Brooklyn,3,BK88
392,BK,Free,BPL,40.61637311,-74.03136941,Library,Brooklyn,3,BK31
393,QU,Free,QPL,40.60073211,-73.82005266,Library,Broad Channel,4,QN10
394,SI,Free,NYPL,40.56653015,-74.13853388,Library,Staten Island,5,SI54
395,MN,Free,NYPL,40.75318405,-73.9821581,Library,New York,1,MN17
396,MN,Free,NYPL,40.72998291,-74.00533101,Library,New York,1,MN23
397,QU,Free,QPL,40.67477693,-73.80926182,Library,South Ozone Park,4,QN55
398,QU,Free,QPL,40.71118563,-73.85367278,Library,Forest Hills,4,QN17
399,MN,Free,NYPL,40.73460553,-73.99916928,Library,New York,1,MN23
400,QU,Free,QPL,40.68086185,-73.84648873,Library,Ozone Park,4,QN56
401,BK,Free,BPL,40.66445379,-73.90522231,Library,Brooklyn,3,BK81
402,BK,Free,BPL,40.64080355,-73.96596508,Library,Brooklyn,3,BK42
